Year,Title,Rating (1-10),Watch Again (Yes/No)
1989,The Killer,,
1989,The Little Mermaid,,
1989,Twister,,
1990,A Shock To The System,,
1990,Dances with Wolves,,
1990,Edward Scissorhands,,
1990,Home Alone,,
1990,Teenage Mutant Ninja Turtles,,
1990,The Hunt for Red October,,
1990,The Rescuers Down Under,,
1990,Wild At Heart,,
1991,A Brief History of Time,,
1991,Beauty and the Beast,,
1991,Boyz n the Hood,,
1991,Rubin and Ed,,
1991,The Silence of the Lambs,,
1992,3 Ninjas,,
1992,Aladdin,,
1992,Batman Returns,,
1992,Hard Boiled,,
1992,Home Alone 2 Lost in New York,,
1992,Reservoir Dogs,,
1992,The Last of the Mohicans,,
1992,White Men Can't Jump,,
1993,Blood In Blood Out,,
1993,Cronos,,
1993,Falling Down,,
1993,Free Willy,,
1993,Hocus Pocus,,
1993,Jurassic Park,,
1993,The Nightmare Before Christmas,,
1993,Whats Eating Gilbert Grape,,
1994,Clerks,,
1994,Dumb and Dumber,,
1994,Getting Even With Dad,,
1994,Quiz Show,,
1994,Stargate,,
1994,The Crow,,
1994,The Lion King,,
1994,The Little Rascals,,
1995,Before Sunrise,,
1995,Casper,,
1995,Empire Records,,
1995,Friday,,
1995,GoldenEye,,
1995,Hackers,,
1995,Heat,,
1995,Kids,,
1995,La Haine,,
1995,Se7en,,
1995,Strange Days,,
1995,The Basketball Diaries,,
1995,The Prophecy,,
1995,The Usual Suspects,,
1996,Bio Dome,,
1996,Fargo,,
1996,Hard Eight,,
1996,James and the Giant Peach,,
1996,Mars Attacks,,
1996,Mission Impossible,,
1996,Pusher,,
1996,Space Jam,,
1996,The People vs Larry Flynt,,
1996,Trainspotting,,
1997,Air Force One,,
1997,Austin Powers - International Man of Mystery,,
1997,Blade Runner Final Cut,,
1997,Chasing Amy,,
1997,Cube,,
1997,Event Horizon,,
1997,LA Confidential,,
1997,The Devils Advocate,,
1997,The Game,,
1997,The Lost World - Jurassic Park,,
1997,The Pest,,
1997,Tomorrow Never Dies,,
1998,A Bug's Life,,
1998,American History X,,
1998,Antz,,
1998,A Simple Plan,,
1998,BASEketball,,
1998,Blade,,
1998,Enemy of the State,,
1998,Half Baked,,
1998,Happiness,,
1998,Homegrown,,
1998,Lost in Space,,
1998,Mulan,,
1998,Rushmore,,
1998,Six-String Samurai,,
1998,The Big Lebowski,,
1998,The Mask Of Zorro,,
1998,The Siege,,
1998,Vampires,,
1999,American Pie,,
1999,Brokedown Palace,,
1999,Deep Blue Sea,,
1999,Dogma,,
1999,Edtv,,
1999,eXistenZ,,
1999,Fight Club,,
1999,Go,,
1999,Office Space,,
1999,South Park Bigger Longer and Uncut,,
1999,Star Wars Episode I - The Phantom Menace,,
1999,The Green Mile,,
1999,The Insider,,
1999,The Iron Giant,,
1999,The Matrix,,
1999,The Mummy,,
1999,The Talented Mr Ripley,,
1999,The World Is Not Enough,,
1999,Wild Wild West,,
2000,American Psycho,,
2000,Gladiator,,
2000,Memento,,
2000,Mission Impossible II,,
2000,Operation Takedown,,
2000,Pitch Black,,
2000,Requiem For A Dream,,
2000,The Tao of Steve,,
2000,Titan AE,,
2000,Traffic,,
2000,U-571,,
2000,Unbreakable,,
2000,X-Men,,
2001,Along Came A Spider,,
2001,Donnie Darko,,
2001,Harry Potter and the Philosophers Stone,,
2001,Human Nature,,
2001,Jay And Silent Bob Strike Back,,
2001,K-PAX,,
2001,Lord of the Rings Fellowship of the Ring,,
2001,Out Cold,,
2001,Pootie Tang,,
2001,Shrek,,
2001,Sur mes Levres,,
2001,Swordfish,,
2001,Tape,,
2001,The Royal Tenenbaums,,
2001,Training Day,,
2001,Vanilla Sky,,
2001,Wet Hot American Summer,,
2001,Y Tu Mama Tambien,,
2002,25th Hour,,
2002,28 Days Later,,
2002,City of God,,
2002,Collateral Damage,,
2002,Confessions of a Dangerous Mind,,
2002,Die Another Day,,
2002,Equilibrium,,
2002,Gangs of New York,,
2002,Harry Potter and the Chamber of Secrets,,
2002,Hero,,
2002,John Q,,
2002,Naqoyqatsi,,
2002,One Hour Photo,,
2002,Phone Booth,,
2002,Spider-Man,,
2002,Spun,,
2002,Star Wars Episode II - Attack Of The Clones,,
2002,The Lord of the Rings The Two Towers,,
2002,The Pianist,,
2002,Van Wilder,,
2003,21 Grams,,
2003,Big Fish,,
2003,Code 46,,
2003,Finding Nemo,,
2003,Hulk,,
2003,Lord of the Rings Return Of The King,,
2003,Matchstick Men,,
2003,My Life Without Me,,
2003,Oldboy,,
2003,Ong-Bak,,
2003,Spring Summer Fall Winter And Spring,,
2003,The Animatrix,,
2003,The Matrix Reloaded,,
2003,The Matrix Revolutions,,
2003,X2,,
2004,Anchorman,,
2004,Banlieue 13,,
2004,Cellular,,
2004,Crash,,
2004,Dead Leaves,,
2004,Dumplings,,
2004,Garden State,,
2004,Gunner Palace,,
2004,Harold and Kumar Go To White Castle,,
2004,Harry Potter and the Prisoner of Azkaban,,
2004,House of Flying Daggers,,
2004,Kung Fu Hustle,,
2004,Oceans Twelve,,
2004,Saw I,,
2004,Spider Man 2,,
2004,SteamBoy,,
2004,The Butterfly Effect,,
2004,The Football Factory,,
2004,The Incredibles,,
2004,The Passion of the Christ,,
2004,The Terminal,,
2005,A Lot Like Love,,
2005,Amityville Horror,,
2005,Assault On Precinct 13,,
2005,Batman Begins,,
2005,Constantine,,
2005,Harry Potter and the Goblet of Fire,,
2005,Harsh Times,,
2005,Hostel,,
2005,Jarhead,,
2005,Lord of War,,
2005,Man Push Cart,,
2005,Munich,,
2005,Pusher 3,,
2005,Saw II,,
2005,Star Wars Episode III - Revenge Of The Sith,,
2005,Sympathy For Lady Vengeance,,
2005,Thank You For Smoking,,
2005,The Aristocrats,,
2005,The Chumscrubber,,
2005,The Descent,,
2005,V For Vendetta,,
2005,Waiting,,
2006,300,,
2006,Accepted,,
2006,Apocalypto,,
2006,Babel,,
2006,Beerfest,,
2006,Behind the Mask The Rise of Leslie Vernon,,
2006,Bon Cop Bad Cop,,
2006,Cars,,
2006,Casino Royale,,
2006,Children Of Men,,
2006,Flags of Our Fathers,,
2006,Grandmas Boy,,
2006,I'm a Cyborg But Thats OK,,
2006,Idiocracy,,
2006,Letters From Iwo Jima,,
2006,Little Miss Sunshine,,
2006,Mission Impossible III,,
2006,Perfume - The Story Of A Murderer,,
2006,Rescue Dawn,,
2006,Saw III,,
2006,Silent Hill,,
2006,Superman Returns,,
2006,Taxidermia,,
2006,The Departed,,
2006,The Fall,,
2006,The Fast and the Furious Tokyo Drift,,
2006,The Hills Have Eyes,,
2006,The Illusionist,,
2006,Unknown,,
2007,30 Days Of Night,,
2007,American Gangster,,
2007,Before The Devil Knows You're Dead,,
2007,Cleaner,,
2007,Funny Games,,
2007,Harry Potter and the Order of the Phoenix,,
2007,Hot Fuzz,,
2007,Into the Wild,,
2007,Knocked Up,,
2007,Michael Clayton,,
2007,Next,,
2007,Oceans 13,,
2007,Ratatouille,,
2007,Shoot 'Em Up,,
2007,Spider Man 3,,
2007,Sunshine,,
2007,Superbad,,
2007,The Bourne Ultimatum,,
2007,The Darjeeling Limited,,
2007,The Hills Have Eyes II,,
2007,Weirdsville,,
2008,21,,
2008,Asylum,,
2008,Bangkok Dangerous,,
2008,Blindness,,
2008,Body of Lies,,
2008,Bolt,,
2008,Death Race,,
2008,Felon,,
2008,Forgetting Sarah Marshall,,
2008,Ghost Town,,
2008,Hancock,,
2008,In Bruges,,
2008,Indiana Jones And The Kingdom Of The Crystal Skull,,
2008,Insanitarium,,
2008,Iron Man,,
2008,Kung Fu Panda,,
2008,Latte Den Ratte Komma In,,
2008,Never Back Down,,
2008,Outlander,,
2008,Phobia,,
2008,Quantum of Solace,,
2008,The Dark Knight,,
2008,The Forbidden Kingdom,,
2008,The Happening,,
2008,The Hurt Locker,,
2008,The Incredible Hulk,,
2008,Valkyrie,,
2008,Wall-E,,
2009,Bad Lieutenant,,
2009,Coraline,,
2009,Daybreakers,,
2009,District 9,,
2009,District 13 Ultimatum,,
2009,Doed Snoe,,
2009,Frequently Asked Questions About Time Travel,,
2009,Harry Potter and the Half Blood Prince,,
2009,Knowing,,
2009,Leaves Of Grass,,
2009,Malice in Wonderland,,
2009,Moon,,
2009,Shrink,,
2009,Star Trek,,
2009,The Disappearance Of Alice Creed,,
2009,The Human Centipede,,
2009,The Imaginarium of Doctor Parnassus,,
2009,The Road,,
2009,The Secret of Kells,,
2009,The Taking of Pelham 123,,
2009,Thirst,,
2009,Transcendent Man,,
2009,Up,,
2009,Watchmen,,
2009,Zombieland,,
2010,13 Assassins,,
2010,22 Bullets,,
2010,Buried,,
2010,Harry Potter and the Deathly Hollows pt1,,
2010,Inception,,
2010,Iron Man 2,,
2010,Legion,,
2010,Never Let Me Go,,
2010,Nostalgia For The Light,,
2010,Rabbit Hole,,
2010,Repo Men,,
2010,Salt,,
2010,Scott Pilgrim vs. the World,,
2010,The A-Team,,
2010,The American,,
2010,The Experiment,,
2010,The Last Seven,,
2010,The Losers,,
2010,The Social Network,,
2010,The Tempest,,
2010,The Town,,
2010,Tucker And Dale Vs Evil,,
2011,10 Years,,
2011,Attack the Block,,
2011,A Very Harold And Kumar Christmas,,
2011,Battle Los Angles,,
2011,Captain America The First Avenger,,
2011,Contagion,,
2011,Drive,,
2011,Drive Angry,,
2011,Elena,,
2011,Green Lantern,,
2011,Hall Pass,,
2011,Hanna,,
2011,Harry Potter And The Deathly Hallows pt2,,
2011,Headhunters,,
2011,Horrible Bosses,,
2011,In Time,,
2011,Life in a Day,,
2011,Limitless,,
2011,Margin Call,,
2011,Mission Impossible Ghost Protocol,,
2011,Puncture,,
2011,Red State,,
2011,Seeking Justice,,
2011,Straw Dogs,,
2011,Take Shelter,,
2011,The Beaver,,
2011,The Cabin In The Woods,,
2011,The Divide,,
2011,The Hunter,,
2011,The Inkeepers,,
2011,The Sitter,,
2011,The Skin I Live In,,
2011,Thor,,
2011,You're Next,,
2012,Argo,,
2012,Beasts of the Southern Wild,,
2012,Brave,,
2012,Chronicle,,
2012,Cloud Atlas,,
2012,Dredd,,
2012,End Of Watch,,
2012,Flight,,
2012,Jack Reacher,,
2012,Looper,,
2012,Man on a Ledge,,
2012,Men in Black 3,,
2012,No,,
2012,Prometheus,,
2012,Ruby Sparks,,
2012,Safe,,
2012,Skyfall,,
2012,Taken 2,,
2012,Ted,,
2012,The Amazing Spider Man,,
2012,The Avengers,,
2012,The Dark Knight Rises,,
2012,The Hobbit An Unexpected Journey,,
2012,The Hunger Games,,
2012,The Master,,
2012,VHS,,
2012,Would You Rather,,
2013,12 OClock Boys,,
2013,American Hustle,,
2013,Anchorman 2 The Legend Continues,,
2013,Assault on Wall Street,,
2013,Blue Ruin,,
2013,Chariot,,
2013,Coffee town,,
2013,Crystal Fairy & the Magical Cactus,,
2013,Don Jon,,
2013,Enders Game,,
2013,Europa Report,,
2013,Goodbye World,,
2013,Gravity,,
2013,Her,,
2013,Iron Man 3,,
2013,Man Of Steel,,
2013,Movie 43,,
2013,Now You See Me,,
2013,Oculus,,
2013,Pacific Rim,,
2013,Parkland,,
2013,Prince Avalanche,,
2013,Prisoners,,
2013,Redemption,,
2013,Snowpiercer,,
2013,Star Trek Into Darkness,,
2013,The Double,,
2013,The Green Inferno,,
2013,The Hobbit The Desolation of Smaug,,
2013,The Purge,,
2013,The To Do List,,
2013,The Wolf of Wall Street,,
2013,The Wolverine,,
2013,The World's End,,
2013,This Is The End,,
2013,Thor The Dark World,,
2013,Visitors,,
2014,13 Sins,,
2014,Automata,,
2014,Boyhood,,
2014,Captain America The Winter Soldier,,
2014,Da Sweet Blood of Jesus,,
2014,Dawn of the Planet of the Apes,,
2014,Edge of Tomorrow,,
2014,Fury,,
2014,Gone Girl,,
2014,Good Kill,,
2014,Guardians of the Galaxy,,
2014,Horrible Bosses 2,,
2014,Interstellar,,
2014,Into the Woods,,
2014,John Wick,,
2014,Kingsman The Secret Service,,
2014,Maleficent,,
2014,Need for Speed,,
2014,Non-Stop,,
2014,Pawn Sacrifice,,
2014,RoboCop,,
2014,The Amazing Spiderman 2,,
2014,The Babadook,,
2014,The Equalizer,,
2014,The Gambler,,
2014,The Hobbit The Battle of the Five Armies,,
2014,The Imitation Game,,
2014,Trailer Park Boys 3 Dont Legalize it,,
2014,Whiplash,,
2014,Wish I Was Here,,
2014,X-Men Days of Future Past,,
2015,A Good American,,
2015,American Ultra,,
2015,Ant-Man,,
2015,Avengers Age of Ultron,,
2015,Bridge of Spies,,
2015,Cinderella,,
2015,Everest,,
2015,Everything is a Remix,,
2015,Ex Machina,,
2015,Eye in the Sky,,
2015,Fantastic Four,,
2015,Focus,,
2015,Furious Seven,,
2015,Growing Up Smith,,
2015,Inside Out,,
2015,Jurassic World,,
2015,Mad Max Fury Road,,
2015,Self Less,,
2015,Sicario,,
2015,Sleeping with Other People,,
2015,Spectre,,
2015,Spotlight,,
2015,Star Wars Episode VII - The Force Awakens,,
2015,Steve Jobs,,
2015,Subterranea,,
2015,Terminator Genisys,,
2015,The 33,,
2015,The Big Short,,
2015,The Gift,,
2015,The Hoarder,,
2015,The Hunger Games Mockingjay Part2,,
2015,The Lobster,,
2015,The Man From U.N.C.L.E.,,
2015,The Martian,,
2015,The Program,,
2015,The Revenant,,
2015,The Stanford Prison Experiment,,
2015,The Survivalist,,
2015,Tomorrowland,,
2015,Trumbo,,
2015,Under Sandet,,
2016,10 Cloverfield Lane,,
2016,13 Hours The Secret Soldiers of Benghazi,,
2016,Anthropoid,,
2016,ARQ,,
2016,Batman vs Superman Dawn of Justice,,
2016,Boys In The Trees,,
2016,Captain America Civil War,,
2016,Captain Fantastic,,
2016,Cardboard Boxer,,
2016,Cell,,
2016,Collide,,
2016,Dark Crimes,,
2016,Deadpool,,
2016,Doctor Strange,,
2016,Equity,,
2016,Hacker,,
2016,Hacksaw Ridge,,
2016,Hell or High Water,,
2016,Imperium,,
2016,Jack Reacher Never Go Back,,
2016,Keanu,,
2016,Kickboxer Vengeance,,
2016,Kubo And The Two Strings,,
2016,Money Monster,,
2016,Our Kind of Traitor,,
2016,Sleight,,
2016,Snowden,,
2016,Star Trek Beyond,,
2016,Star Wars - Rogue One,,
2016,Suicide Squad,,
2016,Sully,,
2016,The Bad Batch,,
2016,The Belko Experiment,,
2016,The Good Neighbor,,
2016,The Infiltrator,,
2016,The Lost City Of Z,,
2016,The Osiris Child,,
2016,The Purge Election Year,,
2016,The Road Movie,,
2016,The Trust,,
2016,Train To Busan,,
2016,Triple 9,,
2016,Tsukiji Wonderland,,
2016,Voyage Of Time Life's Journey,,
2016,Wakefield,,
2016,War Dogs,,
2016,Why Him,,
2016,X-Men Apocalypse,,
2017,24 Hours to Live,,
2017,Aftermath,,
2017,Alien Covenant,,
2017,All The Money In The World,,
2017,American Made,,
2017,Atomica,,
2017,Atomic Blonde,,
2017,Baby Driver,,
2017,Bad Genius,,
2017,Beauty and the Beast,,
2017,Becoming Warren Buffett,,
2017,Blade Runner 2049,,
2017,Bon Cop Bad Cop 2,,
2017,Brawl In Cell Block 99,,
2017,Bullet Head,,
2017,City Of Ghosts,,
2017,Curvature,,
2017,Downsizing,,
2017,Dunkirk,,
2017,Extortion,,
2017,Geostorm,,
2017,Get Out,,
2017,Gifted,,
2017,Going In Style,,
2017,Guardians of the Galaxy Vol.2,,
2017,Hostiles,,
2017,Icarus,,
2017,I Dont Feel at Home in This World Anymore,,
2017,It,,
2017,It Comes At Night,,
2017,John Wick Chapter 2,,
2017,Jungle,,
2017,Justice League,,
2017,LA 92,,
2017,Life,,
2017,Logan,,
2017,Mayhem,,
2017,Once Upon A Time In Venice,,
2017,Only The Brave,,
2017,Papillon,,
2017,Rememory,,
2017,Revenge,,
2017,Revolt,,
2017,Rings,,
2017,Shot Caller,,
2017,Spider-Man Homecoming,,
2017,Star Wars The Last Jedi,,
2017,The Big Sick,,
2017,The Circle,,
2017,The Dark Tower,,
2017,The Discovery,,
2017,The Fate Of The Furious,,
2017,The Foreigner,,
2017,The Hitman's Bodyguard,,
2017,The LEGO Batman Movie,,
2017,The Man With The Iron Heart,,
2017,The Mountain Between Us,,
2017,The Mummy,,
2017,The Post,,
2017,The Shape Of Water,,
2017,The Wall,,
2017,The Wizard Of Lies,,
2017,This Is Your Death,,
2017,Thor Ragnarok,,
2017,War For The Planet Of The Apes,,
2017,What Happened To Monday,,
2017,Wind River,,
2017,Wonder,,
2017,Wonder Woman,,
2018,10x10,,
2018,12 Strong,,
2018,211,,
2018,Annihilation,,
2018,Anon,,
2018,Ant-Man And The Wasp,,
2018,Aquaman,,
2018,Arctic,,
2018,Avengers Infinity War,,
2018,Batman Ninja,,
2018,Black Panther,,
2018,Bohemian Rhapsody,,
2018,Bumblebee,,
2018,Corbin Nash,,
2018,Cutterhead,,
2018,Deadpool 2,,
2018,Den of Thieves,,
2018,Fantastic Beasts The Crimes Of Grindelwald,,
2018,Game Night,,
2018,Jurassic World Fallen Kingdom,,
2018,Kickboxer Retaliation,,
2018,Master Z Ip Man Legacy,,
2018,Meant To Be Broken,,
2018,Mile 22,,
2018,Mission Impossible - Fallout,,
2018,Mortal Engines,,
2018,Notes From The Field,,
2018,Pacific Rim Uprising,,
2018,Ready Player One,,
2018,Red Sparrow,,
2018,Replicas,,
2018,Solo A Star Wars Story,,
2018,Sorry To Bother You,,
2018,Spinning Man,,
2018,Tag,,
2018,The Commuter,,
2018,The Equalizer 2,,
2018,The First Purge,,
2018,The Titan,,
2018,Tomb Raider,,
2018,Unsane,,
2018,Upgrade,,
2018,Venom,,
2018,Welcome To Marwen,,
2018,When We First Met,,
2019,1917,,
2019,A Beautiful Day In The Neighborhood,,
2019,Anna,,
2019,Avengers Endgame,,
2019,Brightburn,,
2019,Captain Marvel,,
2019,Crypto,,
2019,Escape Room,,
2019,Glass,,
2019,Knives Out,,
2019,Parasite,,
2019,Pee Nak,,
2019,Terminator Dark Fate,,
2019,The Platform,,
2019,The Report,,
2019,Uncut Gems,,
2019,Us,,
2019,Vivarium,,
2020,76 Days,,
2020,Becky,,
2020,David Attenborough A Life On Our Planet,,
2020,Edge Of Extinction,,
2020,Force of Nature,,
2020,Monster Hunter,,
2020,Most Wanted,,
2020,Palm Springs,,
2020,Tenet,,
2020,The Binge,,
2020,The Hunt,,
2020,The Invisible Man,,
2020,The King of Staten Island,,
2020,The Outpost,,
2020,Underwater,,
2020,Wonder Woman 1984,,
2021,Beyond Borders,,
2021,Dont Look Up,,
2021,Dune,,
2021,Eternals,,
2021,Free Guy,,
2021,Fruitcake Fraud,,
2021,Godzilla Vs. Kong,,
2021,Mortal Kombat,,
2021,Outside,,
2021,Palmer,,
2021,Parallel,,
2021,Pig,,
2021,Shang Chi and the Legend of the Ten Rings,,
2021,Sorry Louis CK,,
2021,Space Sweepers,,
2021,Stowaway,,
2021,Ted K,,
2021,The Guilty,,
2021,The Man Who Fell From The Sky,,
2021,The Matrix Resurrections,,
2021,The Mauritanian,,
2021,Zack Snyders Justice League,,
2022,All Quiet on the Western Front,,
2022,Bandit,,
2022,Black Adam,,
2022,Black Panther Wakanda Forever,,
2022,Bodies Bodies Bodies,,
2022,Breaking,,
2022,Bullet Train,,
2022,Crimes Of The Future,,
2022,Day Shift,,
2022,Doctor Strange In The Multiverse Of Madness,,
2022,Emergency,,
2022,Fistful Of Vengeance,,
2022,Glass Onion A Knives Out Mystery,,
2022,Jurassic World Dominion,,
2022,No Exit,,
2022,Prey,,
2022,Smile,,
2022,The Batman,,
2022,The Boy The Mole The Fox And The Horse,,
2022,Thor Love And Thunder,,
2022,Top Gun Maverick,,
2022,Vesper,,
2022,Weird The Al Yankovic Story,,
2022,Werewolf By Night,,
2023,Anatomy Of A Fall,,
2023,Blue Beetle,,
2023,Box Metaphor,,
2023,Dumb Money,,
2023,Dungeons Dragons Honor Among Thieves,,
2023,Knock At The Cabin,,
2023,Mission Impossible - Dead Reckoning Part One,,
2023,Nowhere,,
2023,Oppenheimer,,
2023,Perfect Days,,
2023,Tetris,,
2023,The Covenant,,
2023,The Creator,,
2023,The Flash,,
2023,The Holdovers,,
2023,The Iron Claw,,
2023,The Zone Of Interest,,
2024,Civil War,,
2024,Road House,,
2024,Subservience,,
2025,American Sweatshop,,
2025,Bugonia,,
2025,One Battle After Another,,
2025,Roofman,,
2025,Superman,,
2025,The Age of Disclosure,,
2025,Warfare,,
